cell	Voc(V)	Vlim(V)	J_sc(A/m^2)	J_rad(A/m^2)	Q_led
W1715A	1.056	1.17003	4.48558e-24	3.36156e-44	0.0109286
W1715f	1.047	1.17009	4.29531e-24	3.21181e-44	0.0076347
W1703A	1.035	1.17009	4.51494e-24	3.37605e-44	0.00474664
W1732A	1.032	1.16676	2.80816e-24	2.39578e-44	0.00480899
W1732f	1.027	1.1667	2.73305e-24	2.33716e-44	0.00395426
W1703g	0.9908	1.16957	4.15487e-24	3.1709e-44	0.000841706
W1715q	0.9786	1.1699	4.60461e-24	3.46833e-44	0.0005132
W1732q	0.972	1.16699	2.90816e-24	2.45899e-44	0.000442722
