2.5e-06 -0.0048828125 -0.00859375	0.027734375 0.9970703125
0.0036275 0.014453125 0.0107421875	0.01435546875 1.1435546875
0.00363 0.014453125 0.01064453125	0.0142578125 1.142578125
0.0036325 0.01435546875 0.01044921875	0.014453125 1.142578125
0.003635 0.01435546875 0.01044921875	0.01435546875 1.1435546875
0.0036375 0.01435546875 0.0103515625	0.014453125 1.1435546875
0.00364 0.01435546875 0.010546875	0.014453125 1.1435546875
0.0036425 0.01435546875 0.0103515625	0.0142578125 1.142578125
0.003645 0.01435546875 0.01044921875	0.01435546875 1.142578125
0.0036475 0.0142578125 0.0103515625	0.0142578125 1.142578125
0.00365 0.01435546875 0.01044921875	0.0142578125 1.142578125
0.0036525 0.014453125 0.01064453125	0.01435546875 1.142578125
0.003655 0.014453125 0.01064453125	0.01416015625 1.1416015625
0.0036575 0.01435546875 0.01025390625	0.01435546875 1.142578125
0.00366 0.01435546875 0.01044921875	0.0142578125 1.142578125
0.0036625 0.01416015625 0.01025390625	0.01435546875 1.142578125
0.003665 0.0142578125 0.01025390625	0.0142578125 1.142578125
0.0036675 0.0142578125 0.01015625	0.01435546875 1.142578125
0.00367 0.0142578125 0.0103515625	0.0142578125 1.142578125
0.0036725 0.0142578125 0.0103515625	0.0142578125 1.142578125
0.003675 0.01416015625 0.01044921875	0.01435546875 1.142578125
0.0036775 0.01435546875 0.01044921875	0.0142578125 1.142578125
0.00368 0.0142578125 0.010546875	0.01416015625 1.142578125
0.0036825 0.0142578125 0.0103515625	0.01435546875 1.1435546875
0.003685 0.01435546875 0.01044921875	0.01435546875 1.142578125
0.0036875 0.01416015625 0.01025390625	0.01416015625 1.142578125
0.00369 0.0142578125 0.0103515625	0.0142578125 1.142578125
0.0036925 0.0142578125 0.01015625	0.01435546875 1.142578125
0.003695 0.0142578125 0.0103515625	0.01435546875 1.142578125
0.0036975 0.01416015625 0.0103515625	0.014453125 1.1435546875
0.0037 0.01435546875 0.01025390625	0.0140625 1.142578125
0.0037025 0.0142578125 0.0103515625	0.0142578125 1.142578125
0.003705 0.0142578125 0.01025390625	0.0140625 1.1416015625
0.0037075 0.01416015625 0.01025390625	0.0146484375 1.142578125
0.00371 0.0142578125 0.01025390625	0.01416015625 1.1416015625
0.0037125 0.0138671875 0.00927734375	0.0142578125 1.142578125
0.003715 0.01416015625 0.009765625	0.01416015625 1.142578125
0.0037175 0.0140625 0.01005859375	0.01396484375 1.142578125
0.00372 0.01396484375 0.00986328125	0.014453125 1.142578125
0.0037225 0.01396484375 0.01005859375	0.01416015625 1.142578125
0.003725 0.0142578125 0.01015625	0.01416015625 1.142578125
0.0037275 0.0142578125 0.01025390625	0.0142578125 1.1435546875
0.00373 0.01416015625 0.01025390625	0.0142578125 1.1435546875
0.0037325 0.0146484375 0.011328125	0.01416015625 1.142578125
0.003735 0.0142578125 0.01044921875	0.01416015625 1.142578125
0.0037375 0.01416015625 0.01005859375	0.01416015625 1.1416015625
0.00374 0.01416015625 0.01015625	0.01416015625 1.142578125
0.0037425 0.0142578125 0.01015625	0.01416015625 1.142578125
0.003745 0.01416015625 0.01005859375	0.0142578125 1.142578125
0.0037475 0.01416015625 0.01005859375	0.0138671875 1.140625
0.00375 0.01416015625 0.0099609375	0.0140625 1.142578125
0.0037525 0.01396484375 0.01015625	0.01416015625 1.142578125
0.003755 0.0140625 0.0099609375	0.01435546875 1.142578125
0.0037575 0.0140625 0.01005859375	0.0140625 1.142578125
0.00376 0.0140625 0.01005859375	0.0142578125 1.142578125
0.0037625 0.0142578125 0.01044921875	0.01416015625 1.142578125
0.003765 0.0140625 0.0099609375	0.0142578125 1.142578125
0.0037675 0.0140625 0.00986328125	0.014453125 1.1416015625
0.00377 0.01396484375 0.01005859375	0.01396484375 1.1416015625
0.0037725 0.01376953125 0.008984375	0.0140625 1.142578125
0.003775 0.01396484375 0.0099609375	0.0140625 1.142578125
0.0037775 0.01396484375 0.009765625	0.01396484375 1.1416015625
0.00378 0.01396484375 0.009765625	0.01416015625 1.142578125
0.0037825 0.013671875 0.0095703125	0.01396484375 1.1416015625
0.003785 0.0140625 0.01005859375	0.0140625 1.1416015625
0.0037875 0.0140625 0.00986328125	0.01416015625 1.142578125
0.00379 0.01396484375 0.01005859375	0.01396484375 1.1416015625
0.0037925 0.0142578125 0.0103515625	0.0140625 1.1416015625
0.003795 0.01416015625 0.01025390625	0.0140625 1.142578125
0.0037975 0.01396484375 0.009765625	0.01416015625 1.1416015625
0.0038 0.01396484375 0.00966796875	0.0140625 1.1416015625
0.0038025 0.01396484375 0.009375	0.0140625 1.1416015625
0.003805 0.01396484375 0.00986328125	0.01396484375 1.1416015625
0.0038075 0.01396484375 0.00986328125	0.0138671875 1.1416015625
0.00381 0.01396484375 0.009765625	0.01416015625 1.1416015625
0.0038125 0.0140625 0.01015625	0.0140625 1.1416015625
0.003815 0.0138671875 0.0095703125	0.01396484375 1.1416015625
0.0038175 0.0138671875 0.009765625	0.01396484375 1.1416015625
0.00382 0.0138671875 0.009765625	0.01396484375 1.1416015625
0.0038225 0.0140625 0.01025390625	0.0140625 1.1416015625
0.003825 0.0138671875 0.00966796875	0.01396484375 1.1416015625
0.0038275 0.01376953125 0.0095703125	0.01416015625 1.1416015625
0.00383 0.01396484375 0.009765625	0.01416015625 1.1416015625
0.0038325 0.0138671875 0.00966796875	0.01396484375 1.1416015625
0.003835 0.01376953125 0.00966796875	0.0138671875 1.1416015625
0.0038375 0.01376953125 0.0095703125	0.013671875 1.1416015625
0.00384 0.0138671875 0.009765625	0.0138671875 1.1416015625
0.0038425 0.0138671875 0.01005859375	0.0138671875 1.1416015625
0.003845 0.01396484375 0.0099609375	0.0140625 1.1416015625
0.0038475 0.01396484375 0.009765625	0.01396484375 1.1416015625
0.00385 0.0138671875 0.00966796875	0.01396484375 1.1416015625
0.0038525 0.013671875 0.00927734375	0.01396484375 1.1416015625
0.003855 0.0138671875 0.0099609375	0.01396484375 1.1416015625
0.0038575 0.0138671875 0.00966796875	0.01396484375 1.1416015625
0.00386 0.0138671875 0.0095703125	0.01396484375 1.1416015625
0.0038625 0.013671875 0.00927734375	0.0138671875 1.1416015625
0.003865 0.0138671875 0.00966796875	0.0138671875 1.1416015625
0.0038675 0.01396484375 0.0099609375	0.013671875 1.140625
0.00387 0.01376953125 0.009765625	0.0138671875 1.1416015625
0.0038725 0.01396484375 0.0099609375	0.0138671875 1.1416015625
0.003875 0.01376953125 0.00966796875	0.0138671875 1.1416015625
0.0038775 0.01376953125 0.00927734375	0.01376953125 1.140625
0.00388 0.0138671875 0.00966796875	0.0138671875 1.1416015625
0.0038825 0.01396484375 0.009765625	0.01376953125 1.140625
0.003885 0.013671875 0.00966796875	0.013671875 1.140625
0.0038875 0.01376953125 0.00966796875	0.013671875 1.140625
0.00389 0.01376953125 0.0095703125	0.01376953125 1.140625
0.0038925 0.01376953125 0.0095703125	0.01376953125 1.1416015625
0.003895 0.0138671875 0.00986328125	0.01376953125 1.140625
0.0038975 0.01376953125 0.00947265625	0.01396484375 1.142578125
0.0039 0.01376953125 0.00966796875	0.01376953125 1.1416015625
0.0039025 0.0134765625 0.00888671875	0.01376953125 1.140625
0.003905 0.01376953125 0.00966796875	0.01376953125 1.140625
0.0039075 0.013671875 0.00947265625	0.01396484375 1.1416015625
0.00391 0.01376953125 0.00947265625	0.01376953125 1.140625
0.0039125 0.01376953125 0.00927734375	0.01376953125 1.140625
0.003915 0.013671875 0.00947265625	0.013671875 1.140625
0.0039175 0.0138671875 0.009765625	0.013671875 1.140625
0.00392 0.013671875 0.0095703125	0.01376953125 1.140625
0.0039225 0.01376953125 0.00966796875	0.01376953125 1.140625
0.003925 0.01357421875 0.00947265625	0.013671875 1.140625
0.0039275 0.013671875 0.009375	0.0134765625 1.140625
0.00393 0.01357421875 0.0091796875	0.013671875 1.140625
0.0039325 0.0138671875 0.009765625	0.0138671875 1.140625
0.003935 0.013671875 0.00927734375	0.013671875 1.140625
0.0039375 0.01357421875 0.00947265625	0.013671875 1.140625
0.00394 0.013671875 0.00947265625	0.013671875 1.140625
0.0039425 0.0138671875 0.00986328125	0.01376953125 1.140625
0.003945 0.01376953125 0.00947265625	0.013671875 1.140625
0.0039475 0.013671875 0.00947265625	0.01376953125 1.140625
0.00395 0.01357421875 0.00947265625	0.013671875 1.1416015625
0.0039525 0.01357421875 0.009375	0.01357421875 1.140625
0.003955 0.0134765625 0.00927734375	0.01357421875 1.140625
0.0039575 0.01376953125 0.009375	0.013671875 1.140625
0.00396 0.01357421875 0.009375	0.01357421875 1.140625
0.0039625 0.01337890625 0.008984375	0.01357421875 1.1396484375
0.003965 0.01357421875 0.00927734375	0.013671875 1.140625
0.0039675 0.013671875 0.00947265625	0.0134765625 1.140625
0.00397 0.0134765625 0.009375	0.01357421875 1.140625
0.0039725 0.01357421875 0.00927734375	0.01357421875 1.140625
0.003975 0.013671875 0.009375	0.013671875 1.140625
0.0039775 0.01357421875 0.009375	0.0134765625 1.1396484375
0.00398 0.013671875 0.009375	0.01357421875 1.140625
0.0039825 0.01357421875 0.00908203125	0.01357421875 1.1416015625
0.003985 0.01357421875 0.00927734375	0.013671875 1.140625
0.0039875 0.01357421875 0.00927734375	0.01376953125 1.140625
0.00399 0.0134765625 0.009375	0.01357421875 1.140625
0.0039925 0.01357421875 0.009375	0.013671875 1.1396484375
0.003995 0.01357421875 0.009375	0.0134765625 1.140625
0.0039975 0.01357421875 0.0091796875	0.01357421875 1.140625
0.004 0.0134765625 0.0091796875	0.01357421875 1.140625
0.0040025 0.01357421875 0.00927734375	0.01357421875 1.1396484375
0.004005 0.01337890625 0.00908203125	0.01357421875 1.1396484375
0.0040075 0.01357421875 0.00927734375	0.01357421875 1.140625
0.00401 0.01337890625 0.00908203125	0.01357421875 1.140625
0.0040125 0.01357421875 0.00927734375	0.01357421875 1.1396484375
0.004015 0.0134765625 0.00908203125	0.01357421875 1.1396484375
0.0040175 0.01357421875 0.00927734375	0.01337890625 1.1396484375
0.00402 0.0134765625 0.00927734375	0.01357421875 1.1396484375
0.0040225 0.0134765625 0.00927734375	0.0134765625 1.140625
0.004025 0.0134765625 0.0091796875	0.0134765625 1.140625
0.0040275 0.0134765625 0.0091796875	0.01328125 1.1396484375
0.00403 0.0134765625 0.00927734375	0.01337890625 1.1396484375
0.0040325 0.0134765625 0.009375	0.0134765625 1.1396484375
0.004035 0.0134765625 0.00927734375	0.01357421875 1.140625
0.0040375 0.01337890625 0.00908203125	0.01357421875 1.140625
0.00404 0.01337890625 0.0091796875	0.01337890625 1.1396484375
0.0040425 0.01337890625 0.00908203125	0.0134765625 1.1396484375
0.004045 0.01328125 0.00859375	0.01337890625 1.1396484375
0.0040475 0.01337890625 0.0091796875	0.01337890625 1.1396484375
0.00405 0.01337890625 0.00888671875	0.0134765625 1.1396484375
0.0040525 0.01337890625 0.00927734375	0.0134765625 1.1396484375
0.004055 0.01328125 0.00888671875	0.01376953125 1.140625
0.0040575 0.0134765625 0.00908203125	0.0134765625 1.1396484375
0.00406 0.01328125 0.008984375	0.0134765625 1.1396484375
0.0040625 0.01337890625 0.00888671875	0.01337890625 1.138671875
0.004065 0.01328125 0.008984375	0.0134765625 1.138671875
0.0040675 0.01328125 0.008984375	0.01328125 1.1396484375
0.00407 0.01328125 0.00888671875	0.01318359375 1.1396484375
0.0040725 0.01337890625 0.00888671875	0.01337890625 1.1396484375
0.004075 0.01337890625 0.008984375	0.01328125 1.1396484375
0.0040775 0.01337890625 0.00888671875	0.01337890625 1.1396484375
0.00408 0.0134765625 0.00927734375	0.01337890625 1.1396484375
0.0040825 0.01328125 0.0087890625	0.01337890625 1.138671875
0.004085 0.01337890625 0.008984375	0.01337890625 1.1396484375
0.0040875 0.01328125 0.00888671875	0.01337890625 1.1396484375
0.00409 0.012890625 0.00810546875	0.01328125 1.1396484375
0.0040925 0.0130859375 0.00849609375	0.01337890625 1.1396484375
0.004095 0.01337890625 0.00888671875	0.01328125 1.138671875
0.0040975 0.01318359375 0.008984375	0.01337890625 1.1396484375
0.0041 0.01328125 0.0091796875	0.0134765625 1.1396484375
0.0041025 0.01328125 0.0087890625	0.01337890625 1.1396484375
0.004105 0.01328125 0.0087890625	0.01279296875 1.1376953125
0.0041075 0.01318359375 0.008984375	0.01318359375 1.1396484375
0.00411 0.01376953125 0.0099609375	0.01318359375 1.138671875
0.0041125 0.01337890625 0.00888671875	0.01328125 1.1396484375
0.004115 0.0130859375 0.0087890625	0.01318359375 1.1396484375
0.0041175 0.01318359375 0.00869140625	0.01337890625 1.1396484375
0.00412 0.0130859375 0.008203125	0.0130859375 1.1396484375
0.0041225 0.01318359375 0.0087890625	0.01337890625 1.1396484375
0.004125 0.01318359375 0.0087890625	0.013671875 1.1396484375
0.0041275 0.01318359375 0.00869140625	0.01328125 1.1396484375
0.00413 0.01318359375 0.00927734375	0.01328125 1.138671875
0.0041325 0.01318359375 0.00888671875	0.01328125 1.138671875
0.004135 0.01318359375 0.0087890625	0.01318359375 1.138671875
0.0041375 0.0130859375 0.00859375	0.01318359375 1.138671875
0.00414 0.0130859375 0.00869140625	0.01328125 1.1396484375
0.0041425 0.01318359375 0.0087890625	0.01318359375 1.138671875
0.004145 0.0130859375 0.00849609375	0.0130859375 1.1396484375
0.0041475 0.01328125 0.00888671875	0.01328125 1.1396484375
0.00415 0.0126953125 0.0076171875	0.0130859375 1.138671875
0.0041525 0.01337890625 0.00888671875	0.01328125 1.1396484375
0.004155 0.01318359375 0.0087890625	0.01318359375 1.1396484375
0.0041575 0.01318359375 0.0087890625	0.0130859375 1.138671875
0.00416 0.01328125 0.0091796875	0.0130859375 1.138671875
0.0041625 0.0130859375 0.00869140625	0.01318359375 1.138671875
0.004165 0.0130859375 0.00849609375	0.0130859375 1.138671875
0.0041675 0.0130859375 0.0083984375	0.01328125 1.138671875
0.00417 0.0130859375 0.00810546875	0.0130859375 1.138671875
0.0041725 0.01318359375 0.00859375	0.0130859375 1.138671875
0.004175 0.01318359375 0.00869140625	0.01318359375 1.1396484375
0.0041775 0.01318359375 0.00888671875	0.0130859375 1.138671875
0.00418 0.0130859375 0.0087890625	0.0130859375 1.138671875
0.0041825 0.0130859375 0.00859375	0.0130859375 1.138671875
0.004185 0.0130859375 0.00869140625	0.01318359375 1.1376953125
0.0041875 0.0130859375 0.0087890625	0.01318359375 1.138671875
0.00419 0.01328125 0.00908203125	0.01328125 1.138671875
0.0041925 0.01298828125 0.00830078125	0.0130859375 1.138671875
0.004195 0.01298828125 0.0083984375	0.0130859375 1.138671875
0.0041975 0.01298828125 0.00849609375	0.0130859375 1.138671875
0.0042 0.012890625 0.00830078125	0.012890625 1.138671875
0.0042025 0.01318359375 0.00859375	0.01318359375 1.138671875
0.004205 0.0130859375 0.00869140625	0.012890625 1.138671875
0.0042075 0.01298828125 0.00869140625	0.0130859375 1.138671875
0.00421 0.0130859375 0.00908203125	0.01298828125 1.138671875
0.0042125 0.0130859375 0.0083984375	0.0130859375 1.138671875
0.004215 0.01298828125 0.00859375	0.01328125 1.138671875
0.0042175 0.01298828125 0.00830078125	0.0130859375 1.138671875
0.00422 0.012890625 0.00810546875	0.0130859375 1.138671875
0.0042225 0.01298828125 0.0083984375	0.01298828125 1.138671875
0.004225 0.012890625 0.00849609375	0.012890625 1.1376953125
0.0042275 0.01298828125 0.00869140625	0.01318359375 1.138671875
0.00423 0.0130859375 0.00869140625	0.012890625 1.138671875
0.0042325 0.01298828125 0.00830078125	0.01298828125 1.138671875
0.004235 0.0130859375 0.00849609375	0.0126953125 1.1376953125
0.0042375 0.012890625 0.0083984375	0.0130859375 1.138671875
0.00424 0.01279296875 0.008203125	0.012890625 1.138671875
0.0042425 0.01298828125 0.00859375	0.0130859375 1.138671875
0.004245 0.0130859375 0.00869140625	0.01298828125 1.138671875
0.0042475 0.01298828125 0.0083984375	0.01298828125 1.138671875
0.00425 0.01298828125 0.00849609375	0.01298828125 1.138671875
0.0042525 0.01298828125 0.00859375	0.01298828125 1.1376953125
0.004255 0.012890625 0.00849609375	0.01318359375 1.138671875
0.0042575 0.01298828125 0.00849609375	0.01298828125 1.1376953125
0.00426 0.01298828125 0.00830078125	0.012890625 1.138671875
0.0042625 0.01298828125 0.00859375	0.012890625 1.1376953125
0.004265 0.012890625 0.00830078125	0.0130859375 1.138671875
0.0042675 0.01298828125 0.00849609375	0.01298828125 1.1376953125
0.00427 0.01298828125 0.00869140625	0.01298828125 1.138671875
0.0042725 0.01298828125 0.0083984375	0.012890625 1.1376953125
0.004275 0.012890625 0.00830078125	0.01279296875 1.1376953125
0.0042775 0.01298828125 0.00859375	0.01298828125 1.1376953125
0.00428 0.01279296875 0.00830078125	0.0130859375 1.138671875
0.0042825 0.012890625 0.0083984375	0.01279296875 1.1376953125
0.004285 0.01279296875 0.008203125	0.0126953125 1.1376953125
0.0042875 0.012890625 0.00830078125	0.01298828125 1.138671875
0.00429 0.0126953125 0.00791015625	0.01298828125 1.1376953125
0.0042925 0.012890625 0.0083984375	0.01298828125 1.1376953125
0.004295 0.012890625 0.00859375	0.012890625 1.1376953125
0.0042975 0.012890625 0.00830078125	0.01279296875 1.138671875
0.0043 0.01259765625 0.00791015625	0.012890625 1.1376953125
0.0043025 0.012890625 0.00830078125	0.012890625 1.138671875
0.004305 0.01279296875 0.0083984375	0.012890625 1.1376953125
0.0043075 0.01279296875 0.00830078125	0.0130859375 1.138671875
0.00431 0.01279296875 0.00830078125	0.01298828125 1.138671875
0.0043125 0.01279296875 0.0083984375	0.01279296875 1.1376953125
0.004315 0.01279296875 0.00830078125	0.01279296875 1.1376953125
0.0043175 0.01279296875 0.00830078125	0.01279296875 1.1376953125
0.00432 0.01298828125 0.0087890625	0.012890625 1.1376953125
0.0043225 0.01279296875 0.00830078125	0.012890625 1.1376953125
0.004325 0.01279296875 0.0083984375	0.0126953125 1.1376953125
0.0043275 0.0126953125 0.0078125	0.01279296875 1.1376953125
0.00433 0.01279296875 0.00849609375	0.01279296875 1.1376953125
0.0043325 0.0126953125 0.0083984375	0.012890625 1.1376953125
0.004335 0.01279296875 0.00830078125	0.0126953125 1.1376953125
0.0043375 0.01279296875 0.00810546875	0.01279296875 1.1376953125
0.00434 0.01279296875 0.00810546875	0.0126953125 1.1376953125
0.0043425 0.01279296875 0.008203125	0.01279296875 1.1376953125
0.004345 0.012890625 0.00859375	0.012890625 1.1376953125
0.0043475 0.01259765625 0.00810546875	0.01279296875 1.1376953125
0.00435 0.01279296875 0.0083984375	0.012890625 1.1376953125
0.0043525 0.01259765625 0.00791015625	0.01279296875 1.1376953125
0.004355 0.01259765625 0.00810546875	0.012890625 1.1376953125
0.0043575 0.0126953125 0.00810546875	0.012890625 1.138671875
0.00436 0.01259765625 0.00771484375	0.012890625 1.1376953125
0.0043625 0.01259765625 0.00810546875	0.01279296875 1.1376953125
0.004365 0.01259765625 0.00810546875	0.0126953125 1.13671875
0.0043675 0.012890625 0.00830078125	0.0126953125 1.1376953125
0.00437 0.0125 0.00791015625	0.0126953125 1.1376953125
0.0043725 0.01259765625 0.00810546875	0.0126953125 1.1376953125
0.004375 0.0126953125 0.0080078125	0.01259765625 1.1376953125
0.0043775 0.0125 0.0076171875	0.0126953125 1.1376953125
0.00438 0.01259765625 0.00771484375	0.0126953125 1.1376953125
0.0043825 0.01259765625 0.0080078125	0.01259765625 1.1376953125
0.004385 0.01259765625 0.0080078125	0.0125 1.13671875
0.0043875 0.0126953125 0.00810546875	0.01259765625 1.1376953125
0.00439 0.01259765625 0.0078125	0.01279296875 1.1376953125
0.0043925 0.0126953125 0.008203125	0.01259765625 1.1376953125
0.004395 0.01279296875 0.0083984375	0.0125 1.1376953125
0.0043975 0.0126953125 0.0080078125	0.0126953125 1.1376953125
0.0044 0.01259765625 0.0080078125	0.0126953125 1.1376953125
0.0044025 0.01240234375 0.0076171875	0.0126953125 1.1376953125
0.004405 0.01259765625 0.00791015625	0.0126953125 1.1376953125
0.0044075 0.01259765625 0.00791015625	0.0126953125 1.1376953125
0.00441 0.01279296875 0.00810546875	0.0126953125 1.1376953125
0.0044125 0.0126953125 0.00791015625	0.0126953125 1.13671875
0.004415 0.01259765625 0.00810546875	0.01259765625 1.13671875
0.0044175 0.01259765625 0.00810546875	0.01259765625 1.1376953125
0.00442 0.0126953125 0.00830078125	0.0126953125 1.1376953125
0.0044225 0.01259765625 0.00791015625	0.01220703125 1.1357421875
0.004425 0.01259765625 0.00791015625	0.01259765625 1.13671875
0.0044275 0.0125 0.00771484375	0.0126953125 1.1376953125
0.00443 0.0125 0.0078125	0.0126953125 1.13671875
0.0044325 0.01259765625 0.0078125	0.01240234375 1.1376953125
0.004435 0.0125 0.00771484375	0.0125 1.13671875
0.0044375 0.0125 0.0078125	0.01240234375 1.13671875
0.00444 0.0125 0.00791015625	0.01259765625 1.13671875
0.0044425 0.01259765625 0.0078125	0.012890625 1.1376953125
0.004445 0.01259765625 0.0078125	0.01259765625 1.1376953125
0.0044475 0.0125 0.0078125	0.0126953125 1.13671875
0.00445 0.0125 0.0080078125	0.01259765625 1.13671875
0.0044525 0.01240234375 0.0076171875	0.012109375 1.1357421875
0.004455 0.0125 0.00791015625	0.0125 1.13671875
0.0044575 0.01259765625 0.00791015625	0.01240234375 1.13671875
0.00446 0.0125 0.00791015625	0.0125 1.13671875
0.0044625 0.0125 0.0078125	0.01240234375 1.1376953125
0.004465 0.0125 0.0078125	0.01240234375 1.13671875
0.0044675 0.0125 0.00771484375	0.0125 1.13671875
0.00447 0.01259765625 0.00791015625	0.0125 1.13671875
0.0044725 0.0125 0.00771484375	0.012890625 1.13671875
0.004475 0.01240234375 0.00771484375	0.0125 1.1357421875
0.0044775 0.01240234375 0.0076171875	0.01240234375 1.13671875
0.00448 0.0123046875 0.007421875	0.01240234375 1.13671875
0.0044825 0.01240234375 0.0078125	0.0125 1.13671875
0.004485 0.0125 0.00791015625	0.01259765625 1.13671875
0.0044875 0.01240234375 0.00771484375	0.01240234375 1.13671875
0.00449 0.01240234375 0.00751953125	0.0125 1.13671875
0.0044925 0.0125 0.00771484375	0.01240234375 1.1376953125
0.004495 0.01240234375 0.00751953125	0.01259765625 1.13671875
0.0044975 0.0126953125 0.008203125	0.0125 1.13671875
0.0045 0.01240234375 0.0076171875	0.0125 1.13671875
0.0045025 0.0125 0.00791015625	0.0125 1.13671875
0.004505 0.0123046875 0.0078125	0.0123046875 1.1357421875
0.0045075 0.0123046875 0.00703125	0.0123046875 1.13671875
0.00451 0.01240234375 0.0078125	0.01240234375 1.13671875
0.0045125 0.0123046875 0.0076171875	0.0125 1.13671875
0.004515 0.0123046875 0.0078125	0.0123046875 1.13671875
0.0045175 0.01240234375 0.0080078125	0.0123046875 1.1357421875
0.00452 0.01240234375 0.00771484375	0.0123046875 1.1357421875
0.0045225 0.01220703125 0.0076171875	0.01240234375 1.13671875
0.004525 0.0123046875 0.0076171875	0.01240234375 1.13671875
0.0045275 0.01279296875 0.00869140625	0.0125 1.13671875
0.00453 0.0123046875 0.00771484375	0.01240234375 1.13671875
0.0045325 0.01240234375 0.0078125	0.0125 1.13671875
0.004535 0.0125 0.00771484375	0.01240234375 1.13671875
0.0045375 0.012109375 0.00703125	0.0125 1.13671875
0.00454 0.01240234375 0.00771484375	0.01240234375 1.1357421875
0.0045425 0.0123046875 0.0076171875	0.01240234375 1.1357421875
0.004545 0.01220703125 0.00732421875	0.0123046875 1.1357421875
0.0045475 0.0123046875 0.0078125	0.01220703125 1.1357421875
0.00455 0.0123046875 0.00771484375	0.0123046875 1.1357421875
0.0045525 0.01240234375 0.00751953125	0.01220703125 1.1357421875
0.004555 0.01220703125 0.0076171875	0.0123046875 1.1357421875
0.0045575 0.01220703125 0.00712890625	0.0123046875 1.1357421875
0.00456 0.0123046875 0.0076171875	0.0123046875 1.1357421875
0.0045625 0.01220703125 0.00751953125	0.012109375 1.134765625
0.004565 0.0123046875 0.0078125	0.01220703125 1.1357421875
0.0045675 0.01201171875 0.00703125	0.01240234375 1.1357421875
0.00457 0.0123046875 0.00771484375	0.0123046875 1.13671875
0.0045725 0.0123046875 0.00791015625	0.0123046875 1.13671875
0.004575 0.01220703125 0.00751953125	0.0123046875 1.1357421875
0.0045775 0.0126953125 0.00849609375	0.0123046875 1.1357421875
0.00458 0.01220703125 0.00771484375	0.01220703125 1.1357421875
0.0045825 0.0123046875 0.00751953125	0.0123046875 1.1357421875
0.004585 0.012109375 0.007421875	0.0123046875 1.1357421875
0.0045875 0.0123046875 0.0072265625	0.01220703125 1.1357421875
0.00459 0.0123046875 0.00751953125	0.01220703125 1.1357421875
0.0045925 0.01220703125 0.00732421875	0.0123046875 1.1357421875
0.004595 0.012109375 0.00732421875	0.012109375 1.1357421875
0.0045975 0.012109375 0.0076171875	0.0123046875 1.1357421875
0.0046 0.01220703125 0.007421875	0.01220703125 1.1357421875
0.0046025 0.0123046875 0.0078125	0.012109375 1.1357421875
0.004605 0.012109375 0.00732421875	0.012109375 1.134765625
0.0046075 0.01240234375 0.00791015625	0.012109375 1.1357421875
0.00461 0.012109375 0.007421875	0.012109375 1.1357421875
0.0046125 0.0123046875 0.0078125	0.0123046875 1.13671875
0.004615 0.012109375 0.00751953125	0.01220703125 1.1357421875
0.0046175 0.01201171875 0.00712890625	0.0125 1.13671875
0.00462 0.01201171875 0.00712890625	0.012109375 1.1357421875
0.0046225 0.012109375 0.007421875	0.01240234375 1.1357421875
0.004625 0.01220703125 0.007421875	0.0123046875 1.1357421875
0.0046275 0.0123046875 0.00810546875	0.01220703125 1.1357421875
0.00463 0.01220703125 0.00751953125	0.01201171875 1.134765625
0.0046325 0.01201171875 0.00732421875	0.01240234375 1.1357421875
0.004635 0.01201171875 0.00732421875	0.012109375 1.1357421875
0.0046375 0.01220703125 0.0072265625	0.01220703125 1.1357421875
0.00464 0.01220703125 0.007421875	0.01220703125 1.1357421875
0.0046425 0.012109375 0.007421875	0.012109375 1.1357421875
0.004645 0.01201171875 0.00732421875	0.01220703125 1.134765625
0.0046475 0.01201171875 0.0072265625	0.01220703125 1.1357421875
0.00465 0.01220703125 0.00751953125	0.01220703125 1.1357421875
0.0046525 0.0123046875 0.0076171875	0.01201171875 1.1357421875
0.004655 0.012109375 0.00732421875	0.012109375 1.134765625
0.0046575 0.01220703125 0.00732421875	0.01201171875 1.134765625
0.00466 0.01201171875 0.007421875	0.012109375 1.1357421875
0.0046625 0.012109375 0.0072265625	0.012109375 1.1357421875
0.004665 0.012109375 0.007421875	0.0123046875 1.1357421875
0.0046675 0.012109375 0.00732421875	0.01201171875 1.134765625
0.00467 0.012109375 0.0072265625	0.012109375 1.134765625
0.0046725 0.01201171875 0.0072265625	0.01201171875 1.134765625
0.004675 0.01201171875 0.007421875	0.012109375 1.1357421875
0.0046775 0.012109375 0.00751953125	0.01220703125 1.134765625
0.00468 0.012109375 0.00771484375	0.012109375 1.1357421875
0.0046825 0.012109375 0.0072265625	0.01201171875 1.134765625
0.004685 0.01201171875 0.0072265625	0.012109375 1.134765625
0.0046875 0.0119140625 0.0068359375	0.01201171875 1.134765625
0.00469 0.01201171875 0.00732421875	0.01220703125 1.1357421875
0.0046925 0.01201171875 0.0072265625	0.01201171875 1.134765625
0.004695 0.0119140625 0.00712890625	0.01201171875 1.134765625
0.0046975 0.0119140625 0.00703125	0.012109375 1.1357421875
0.0047 0.01201171875 0.007421875	0.012109375 1.1357421875
0.0047025 0.01201171875 0.00712890625	0.01201171875 1.134765625
0.004705 0.0119140625 0.00712890625	0.01201171875 1.134765625
0.0047075 0.0123046875 0.0076171875	0.01201171875 1.134765625
0.00471 0.01201171875 0.0072265625	0.0119140625 1.134765625
0.0047125 0.0119140625 0.00712890625	0.0119140625 1.134765625
