Run Id		
Device	W1715A100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.38	
Material	None	
Date	6/27/2013	
Time	2:32 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.10045695304871	0.0274817081216428	
-0.09252405166626	0.0274860126945828	
-0.0843096256256112	0.027493045297608	
-0.0763338088989258	0.0275016190532298	
-0.0683509826660156	0.027508225483045	
-0.0606149196624756	0.0275166275027842	
-0.0527446746826172	0.0275173546794504	
-0.0448491096496582	0.0275181392255872	
-0.036978578567505	0.0275135973516554	
-0.0291385173797608	0.0275075057569594	
-0.0212626934051515	0.0275005890104622	
-0.0134020328521729	0.0274926519069522	
-0.00552964210510252	0.0274812294218392	
0.00231914520263688	0.0274744583341926	
0.0101819515228273	0.0274690294686406	
0.0180315971374513	0.0274672033313364	
0.0259021282196046	0.0274715853903146	
0.0337539196014404	0.0274780584547372	
0.0416260242462158	0.027484307256684	
0.0494809627532958	0.0274934912148568	
0.0573543548583984	0.0274952197495552	
0.0652055740356446	0.0274945238653274	
0.0730796813964846	0.0274960091385694	
0.080940341949463	0.0274935772690624	
0.0888233184814462	0.0274876406464428	
0.0966794013977066	0.027484958437428	
0.104561376571657	0.0274818232331128	
0.112421321868898	0.0274770999375434	
0.120294284820558	0.0274776721421334	
0.128146076202394	0.0274800824049564	
0.136022901535034	0.0274823783013672	
0.143900871276856	0.0274860737893432	
0.151776552200318	0.0274903582457154	
0.159650373458862	0.0274924347225276	
0.167525768280028	0.0274889467332212	
0.175405883789062	0.0274869510952084	
0.183261537551878	0.0274805137935728	
0.191141366958616	0.0274727391127198	
0.198999309539794	0.027464640331611	
0.20687870979309	0.0274667074951976	
0.214732360839844	0.0274667935494034	
0.222604322433472	0.027473280769929	
0.230458402633668	0.027477698591694	
0.238334941864014	0.0274834966335146	
0.246192312240602	0.0274838114205448	
0.254067277908326	0.0274890469435304	
0.261925077438356	0.0274928210351318	
0.269800901412966	0.027500038040027	
0.27766242027283	0.027503383350715	
0.285538959503176	0.0275079919073432	
0.29340376853943	0.0275037908974736	
0.301286745071412	0.0275019908372014	
0.30914912223816	0.0274986600551456	
0.317024517059326	0.0274976750883906	
0.32488260269165	0.0274954101118892	
0.332754707336426	0.0274991245988458	
0.340610074996948	0.027498440263018	
0.348481893539428	0.027498852652654	
0.356333541870118	0.0274968190166802	
0.364210081100464	0.0274944515946956	
0.372071599960328	0.0274895211729856	
0.379955434799196	0.0274871656719298	
0.387813806533814	0.027482213643536	
0.395700359344482	0.0274754690054506	
0.403556156158448	0.0274691676769108	
0.411428117752076	0.0274619342807382	
0.419277620315552	0.0274524761411996	
0.427152585983278	0.0274467090192886	
0.43500294685364	0.0274467183325144	
0.442876768112184	0.0274537993643136	
0.450731563568116	0.0274675654295536	
