Run Id		
Device	W1715f100	
Curve	Illuminated IV2	
Size [cm2]	0.25	
Temperature [C]	24.33	
Material	None	
Date	6/27/2013	
Time	3:04 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.099914789199829	0.00622234072848101	
-0.092155694961548	0.00623124556927821	
-0.0843289375305176	0.00623202527253767	
-0.0765239238739014	0.00623420922397515	
-0.068708324432373	0.00623364894031427	
-0.0609106063842774	0.00623210154785655	
-0.053114891052246	0.00622976988865873	
-0.0453168869018554	0.00622707818015357	
-0.0375187397003174	0.00622558564259549	
-0.02971830368042	0.00622348048104783	
-0.0219231605529785	0.00622075543119451	
-0.0141348838806153	0.00621796109094165	
-0.00634531974792488	0.00621459463923119	
0.00143938064575192	0.00621054394482515	
0.00922636985778812	0.00620814783810517	
0.0170137882232667	0.00620783789395233	
0.0248090744018554	0.00620793326138397	
0.032603359222412	0.00620914677469871	
0.0404005050659178	0.00621037220894239	
0.048194074630737	0.00621166441901467	
0.055990934371948	0.00621140923662923	
0.063787794113159	0.00621164532690189	
0.0715852260589598	0.00621138073815843	
0.0793872356414794	0.00621160965724727	
0.0871896743774418	0.00621249897717377	
0.0950144290924082	0.00621450411467691	
0.102816581726075	0.00621644722609659	
0.110616874694825	0.00621780136912009	
0.118414735794068	0.00621926047219775	
0.1262131690979	0.00621998997717045	
0.134009885787962	0.00621996855675125	
0.141809463500976	0.00622040720968389	
0.149610328674316	0.00622170901237869	
0.157410049438476	0.00622176861702347	
0.16520791053772	0.00622189974724197	
0.173005771636964	0.00622276997505569	
0.18082766532898	0.00622370697869801	
0.188631105422974	0.00622332308753275	
0.196434116363526	0.00622281765877149	
0.204237699508668	0.00622050974829933	
0.21203899383545	0.00621689528538725	
0.21983757019043	0.00621259657977959	
0.227633571624756	0.00620865792347927	
0.235432863235474	0.00620557273118635	
0.243229150772094	0.00620362729146025	
0.25102972984314	0.00620125502659819	
0.258829736709596	0.00619800061299347	
0.266630172729494	0.00619506089328671	
0.274432039260866	0.00619240969731355	
0.282239770889284	0.00619060246585751	
0.290043783187868	0.00619045224352621	
0.297844791412354	0.00619148703603885	
0.305667972564698	0.00619396901070019	
0.313467693328858	0.00619723059548875	
0.321265554428102	0.00620197512521287	
0.32906427383423	0.00620758513300559	
0.336863136291506	0.00621357651739261	
0.344660711288454	0.00621823517917535	
0.352457571029664	0.00622235507084867	
0.360256290435792	0.00622462246878883	
0.368052577972412	0.00622584557472607	
0.375854444503784	0.00622610783516309	
0.383660888671874	0.00622692805095457	
0.391464900970458	0.00622656083046341	
0.399267482757566	0.00622409077673101	
0.407073640823362	0.00621950354738975	
0.414873933792112	0.00621358843832159	
0.422666931152342	0.00620712487338923	
0.430481958389282	0.00620212767585061	
0.43827624320984	0.00620026326118849	
0.446071100234986	0.00620054461373827	
0.453866243362428	0.00620287152319095	
0.461662673950196	0.00620503396107695	
0.469465684890746	0.00620693655996463	
0.477271127700804	0.00620776627524635	
0.485073280334472	0.00620806429847023	
0.49287757873535	0.00620822644173047	
0.500683164596556	0.00620882248817823	
0.50848159790039	0.00620958058475397	
0.516277313232422	0.00621086087389729	
0.524077320098876	0.00621291127367757	
0.531874752044678	0.00621447766511581	
0.539671468734742	0.00621565075903079	
0.547468900680542	0.00621624922691723	
0.555287075042724	0.00621653532921215	
0.56308364868164	0.00621545294611593	
0.570885515213012	0.00621463999464055	
0.578688383102416	0.00621436814158103	
0.586490821838378	0.00621258242367647	
0.594293546676634	0.00621219378276609	
0.602099561691284	0.00621300440593503	
0.609898424148558	0.00621399859278343	
0.617697572708128	0.00621457554711839	
0.62549886703491	0.00621705025746365	
0.633297014236448	0.00621854512332817	
0.641093587875364	0.00621836388795515	
0.648892736434936	0.00621786795868417	
0.656692028045654	0.00621784411682627	
0.664495468139648	0.00621770823686265	
0.672300338745118	0.00621711694016001	
0.680124378204346	0.00621796099780939	
0.687926387786864	0.00621764155416629	
0.695729398727416	0.00621498560844799	
0.70352783203125	0.00621090390100021	
0.71132411956787	0.00620653134151239	
0.7191198348999	0.00620183207406539	
0.726923418045042	0.00619719483270187	
0.734721279144286	0.00619366381629249	
0.742515993118284	0.00619095301567457	
0.75031542778015	0.00618656136407399	
0.75811514854431	0.00618194554312967	
0.765915870666502	0.00617743701054595	
0.773720026016232	0.00617320033102175	
0.781524753570554	0.00616800280599733	
0.789327621459958	0.00616334405108233	
0.797130346298216	0.00615715708895465	
0.804945945739744	0.00614983288883111	
0.812740516662596	0.00614064185260675	
0.820537376403808	0.00612984624071857	
0.828335666656494	0.00611645670919557	
0.836129808425902	0.00610082837133547	
0.843926239013672	0.00608146403296729	
0.85172610282898	0.00605787493600389	
