Run Id		
Device	W1715C100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.47	
Material	None	
Date	6/27/2013	
Time	2:42 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.099959135055542	0.0272798491785872	
-0.092443227767944	0.0272655086735832	
-0.084995412826538	0.027263572267686	
-0.0775264263153076	0.0272548174629556	
-0.0700555801391602	0.0272446846733438	
-0.0625777244567872	0.0272324824849712	
-0.0551226139068604	0.027218737653886	
-0.047670078277588	0.0272074962178814	
-0.040200662612915	0.0271917654345382	
-0.0327472686767578	0.0271754002342573	
-0.0252973079681396	0.0271609092275252	
-0.0178224563598632	0.0271531751523366	
-0.0103500366210936	0.0271485949079147	
-0.00289406776428224	0.0271573806325544	
0.00457892417907716	0.0271721577415812	
0.0120550632476806	0.027189266509806	
0.0195070266723632	0.0272007273654092	
0.0269765853881834	0.0272141454885355	
0.034449005126953	0.0272173499832502	
0.0419059753417968	0.0272103669265858	
0.0493831157684326	0.0271996813038939	
0.056865119934082	0.0271980526069755	
0.0643296718597412	0.0271998433540218	
0.0718122482299804	0.027211480415856	
0.079295539855957	0.0272359350840202	
0.0867550849914544	0.0272562338183274	
0.0942136287689206	0.0272614291081776	
0.101694345474243	0.027250225670134	
0.10915503501892	0.0272276139030804	
0.116606998443602	0.0272070167730203	
0.124082851409912	0.0271893428782572	
0.13155813217163	0.0271732209394327	
0.13900966644287	0.027163016624247	
0.146480655670166	0.0271577714155069	
0.153957223892212	0.0271449899444929	
0.161411476135254	0.0271315956632246	
0.168884181976318	0.0271258166203847	
0.176364183425904	0.0271215560058702	
0.183826303482056	0.0271216156105151	
0.191303730010986	0.0271273518125166	
0.19878087043762	0.0271446323166242	
0.206240415573118	0.0271612284849039	
0.213712406158444	0.0271817518542162	
0.221185970306394	0.0271965934107652	
0.22863893508911	0.027205341137444	
0.236093473434448	0.0272037962595573	
0.243566465377808	0.0271959664444078	
0.251020002365114	0.0271862151245226	
0.258470964431764	0.0271792987505546	
0.26594409942627	0.0271770408521048	
0.273417520523072	0.0271778205553642	
0.28087592124939	0.0271855598459595	
0.288354921340942	0.027191510624682	
0.29583306312561	0.027199373594915	
0.303296184539794	0.027205005116259	
0.310775899887084	0.0272103170076956	
0.318251752853394	0.0272116067031968	
0.325705862045288	0.0272182179758896	
0.33318099975586	0.0272209504763235	
0.3406551361084	0.0272181345293868	
0.348109388351442	0.0272167420158732	
0.355581521987916	0.0272141503314127	
0.36305708885193	0.0272071862737286	
0.370512056350708	0.0271978115806926	
0.377989625930786	0.0271917367498031	
0.38547134399414	0.027184260092174	
0.392930316925048	0.0271861793617359	
0.400388860702514	0.0271932294736256	
0.40786943435669	0.0271988989929308	
0.415324258804322	0.0271994831184496	
0.42277250289917	0.0271985864410749	
