cell	Voc(V)	Vlim(V)	J_sc(mA/cm^2)	J_0_r	J_0_nr	ERE(%)
W1742_A	1.018	1.14288	19.2454	1.2156e-18	1.51077e-16	0.798201
W1742_B	1.023	1.14311	19.2565	1.20555e-18	1.24378e-16	0.95996
W1742_C	1.018	1.14319	19.1825	1.19721e-18	1.50598e-16	0.788704
W1742_d	1.014	1.14335	18.3524	1.13826e-18	1.6839e-16	0.671428
W1742_e	1.004	1.14321	18.3983	1.14721e-18	2.49072e-16	0.458482
W1742_f	1.004	1.14293	18.4466	1.16267e-18	2.49713e-16	0.463444
W1742_g	1.009	1.14296	18.4864	1.16398e-18	2.0604e-16	0.561754
W1742_h	1.005	1.14308	18.2913	1.14635e-18	2.38178e-16	0.478992
