Run Id		
Device	W1715-2F100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.4	
Material	None	
Date	6/27/2013	
Time	3:21 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.099904775619507	0.0127092024869503	
-0.092251539230347	0.0127177855557983	
-0.0845890045166016	0.0127196521125021	
-0.0769164562225342	0.0127220338768545	
-0.0692500591278076	0.0127241176179829	
-0.0615664958953858	0.0127249282411519	
-0.0539032459259034	0.0127250282651963	
-0.0462364196777346	0.0127232449687303	
-0.0385754585266116	0.0127219003251969	
-0.0309040546417238	0.0127202289737045	
-0.0232234954833985	0.0127170414290605	
-0.0155402183532715	0.0127169533259451	
-0.00788626670837402	0.0127198501116813	
-0.000226306915283217	0.0127230424992027	
0.00742664337158198	0.0127255410514059	
0.0150721549987793	0.0127310365996543	
0.0227129459381103	0.0127351493201437	
0.0303726196289062	0.0127364606223287	
0.038035011291504	0.0127375668472827	
0.045695686340332	0.0127384013123095	
0.053354501724243	0.0127368610910355	
0.0610151767730712	0.0127352778426587	
0.068700885772705	0.0127339283562481	
0.0763649940490722	0.0127303258142651	
0.0840328216552734	0.0127266232482375	
0.0917037963867196	0.0127225056848707	
0.0993757724761964	0.0127194300852003	
0.10704574584961	0.0127172271347823	
0.114717292785645	0.0127174178696455	
0.122381973266602	0.0127175918407025	
0.130048370361328	0.0127173392660203	
0.137712335586548	0.0127142089045825	
0.145378303527832	0.0127086800149861	
0.153042268753052	0.0127039569056813	
0.16072669029236	0.0126991838774863	
0.168391084671022	0.0126965158245745	
0.17606077194214	0.0126956623605671	
0.183730173110962	0.0126994174531879	
0.19140043258667	0.0127023453450979	
0.199069833755492	0.0127051324210347	
0.206738519668578	0.0127075428701223	
0.214403200149536	0.0127089828810871	
0.222064447402954	0.0127085393852771	
0.229725551605224	0.0127085727266253	
0.23738923072815	0.0127089661172809	
0.24505319595337	0.0127073402143301	
0.252716159820558	0.0127052968926015	
0.260384416580202	0.0127035063318195	
0.268054533004762	0.0127035588584127	
0.275723791122436	0.0127031798101247	
0.28339591026306	0.0127053397334397	
0.291086483001706	0.0127088564074815	
0.29875588417053	0.0127121013215959	
0.306421995162962	0.0127145736105025	
0.314088249206542	0.0127192512712659	
0.321751499176024	0.0127229586801711	
0.32941632270813	0.0127245823479477	
0.337080144882202	0.0127259199134295	
0.344744110107422	0.0127257602847401	
0.352408933639526	0.0127236694655599	
0.36007218360901	0.0127207512594045	
0.367734575271606	0.0127205247617543	
0.37540612220764	0.0127203267625749	
0.383101129531858	0.0127201574481309	
0.390772104263304	0.0127206700480761	
0.39844193458557	0.0127232663891497	
0.406113624572754	0.0127252165786209	
0.41377673149109	0.0127279583922805	
0.42143397331238	0.0127303902617873	
0.429093647003176	0.0127294604293287	
