Run Id		
Device	W1715-2D100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.52	
Material	None	
Date	6/27/2013	
Time	3:26 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.099891185760498	0.00327814684346099	
-0.092237234115601	0.00327676406226829	
-0.0845802783966066	0.00327472791172343	
-0.0769108772277834	0.00327440367176907	
-0.0692453384399416	0.00327468977406399	
-0.0615650653839112	0.00327582701205985	
-0.0538936614990236	0.00327726706959085	
-0.0462225437164308	0.00327811583041923	
-0.0385601520538332	0.00327861650943535	
-0.0308983325958254	0.00327826125643927	
-0.023231649398804	0.00327810865923541	
-0.0155694007873537	0.00327768430210429	
-0.00792002677917499	0.00327740774586575	
-0.000264930725097794	0.00327752453371661	
0.00738716125488281	0.00327814917176741	
0.0150431156158448	0.00327874759308773	
0.0226920604705811	0.00327989675201255	
0.0303525924682618	0.00328149415649252	
0.038012981414795	0.00328246454804915	
0.0456770896911622	0.00328357081956941	
0.053336763381958	0.00328440290972371	
0.0610008716583252	0.00328467946596223	
0.068685007095337	0.00328442912645419	
0.0763491153717042	0.00328417878694613	
0.0840179443359376	0.00328383782975155	
0.0916886329650878	0.00328343731447833	
0.099358463287353	0.00328334432191925	
0.107027292251585	0.00328357794418709	
0.114701557159423	0.00328412868179158	
0.122366666793822	0.00328481534592585	
0.130030488967894	0.00328533032074349	
0.137693166732786	0.00328540184631723	
0.145359134674072	0.00328537800445931	
0.15302267074585	0.00328479862868563	
0.160705947875976	0.00328363754883187	
0.168369483947754	0.00328297952286677	
0.176035881042482	0.00328296760193781	
0.183703565597534	0.00328228810898737	
0.191370248794554	0.00328196386903302	
0.199039220809936	0.00328149415649251	
0.206704473495482	0.00328101014815049	
0.21437129974365	0.00328075980864242	
0.222037982940672	0.00328059771194833	
0.22970380783081	0.00328034262269513	
0.237369775772094	0.00328094104401544	
0.245037031173706	0.00328133205979839	
0.252701425552368	0.00328133205979839	
0.260363101959228	0.00328169681228473	
0.2680269241333	0.00328224754988923	
0.275695037841796	0.00328244070619121	
0.283364868164062	0.00328260522432403	
0.291053438186646	0.00328286748476105	
0.298721981048586	0.00328339442707377	
0.306391239166262	0.00328373538426835	
0.314053916931154	0.00328399284839411	
0.321720743179322	0.00328430754229207	
0.329385566711426	0.00328432188465971	
0.33705153465271	0.00328376872561651	
0.344716501235962	0.00328354460283893	
0.352384614944458	0.00328353747822123	
0.360047578811646	0.00328330623082595	
0.367713403701782	0.00328338967732865	
0.37538695335388	0.00328334916479667	
0.383073520660398	0.00328311312109013	
0.390742349624632	0.00328276261783917	
0.398409605026244	0.0032826195666917	
0.406076288223266	0.00328260047457893	
0.413735675811768	0.00328278641313095	
0.421401071548462	0.00328296760193783	
0.42906403541565	0.00328337291352231	
