Run Id		
Device	W1715-2C100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.36	
Material	None	
Date	6/27/2013	
Time	3:12 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.099891185760498	0.00426331571181551	
-0.092523336410522	0.00426145632629531	
-0.0850958347320556	0.00425949877937573	
-0.0776919364929198	0.00425835921307343	
-0.0702929019927978	0.00425732926343817	
-0.0628970146179198	0.00425742463086981	
-0.0555011272430418	0.00425811129500407	
-0.0481038093566894	0.00425870017026801	
-0.0407086372375488	0.00425903153484007	
-0.033315896987915	0.00425921267708083	
-0.025918436050415	0.00425914599438449	
-0.0185214042663574	0.00425890282606027	
-0.0111339569091796	0.00425931288738987	
-0.00374822616577142	0.00425994469662449	
0.00364108085632318	0.00426016402309081	
0.0110275268554688	0.00426004239236257	
0.0184179782867432	0.00425992551137945	
0.0258137226104736	0.00425943675329229	
0.0332101821899414	0.00425879060169001	
0.0406245231628418	0.00425896708731791	
0.0480186939239502	0.00425930562307377	
0.055409574508667	0.00426005431329151	
0.0628053188323976	0.00426049296622415	
0.070201349258423	0.00426128216897389	
0.077595376968384	0.00426226201345463	
0.0849994182586672	0.00426298919012089	
0.0924037456512448	0.00426331105520267	
0.0998256683349596	0.00426391902257939	
0.107226991653441	0.00426426230808039	
0.114633178710936	0.00426438151736995	
0.122028493881224	0.00426459376578471	
0.129424667358398	0.00426455800299785	
0.136823272705078	0.00426493239467283	
0.144224309921264	0.00426427441527387	
0.15162034034729	0.00426360209350725	
0.15901894569397	0.00426299645443699	
0.166418838500976	0.00426212147687813	
0.173817443847656	0.00426050973003051	
0.181220054626464	0.00425977063243529	
0.188623523712158	0.00425798249309203	
0.196047163009644	0.00425611565699121	
0.203449487686158	0.00425443713431499	
0.210852384567262	0.00425263465260407	
0.218251276016238	0.00425191464712163	
0.225651597976686	0.00425243683968921	
0.233045768737794	0.00425396039028901	
0.24044179916382	0.00425684050535101	
0.247836685180666	0.00426043587615031	
0.255231285095216	0.00426356390928167	
0.262623596191408	0.00426597901498217	
0.2700243473053	0.00426649878611107	
0.27742681503296	0.00426512312953609	
0.284827852249146	0.00426234322478313	
0.292248487472534	0.00425879078795453	
0.299654531478882	0.00425602755387565	
0.307056283950804	0.00425462796231051	
0.314453601837156	0.00425492831384083	
0.32185478210449	0.00425626345788379	
0.329256105422972	0.00425793955912131	
0.336655426025388	0.00425981589471239	
0.344055461883544	0.00426142289181489	
0.351455211639404	0.00426222643693227	
0.358853244781494	0.00426261740614911	
0.366249418258668	0.00426333266188643	
0.373652315139772	0.00426328739960929	
0.381052207946778	0.00426263649826189	
0.388479709625246	0.00426206429367205	
0.395882463455202	0.00426215966110369	
0.403287792205812	0.00426137287979265	
0.410683536529542	0.00426029282500287	
