Run Id		
Device	W1715-2B100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.3	
Material	None	
Date	6/27/2013	
Time	3:29 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.099879741668701	0.00211707859215523	
-0.092535495758057	0.00211824693632503	
-0.0851081371307372	0.00211808954280993	
-0.0777151107788086	0.00211834705350182	
-0.0703189373016356	0.00211883818646153	
-0.0629153251647948	0.00211957490918417	
-0.0555230140686034	0.00212008988400181	
-0.0481295585632322	0.00212070739743491	
-0.0407300949096676	0.00212105785411973	
-0.0333336353302	0.00212078604762633	
-0.0259358882904052	0.00211991581981261	
-0.018535566329956	0.00211838994090638	
-0.0111436843872071	0.00211641819131753	
-0.00375466346740732	0.00211472304453335	
0.00363364219665528	0.00211319241588197	
0.0110239505767823	0.0021120480067023	
0.0184102535247803	0.00211184535091006	
0.0258042812347412	0.00211205755275867	
0.0331990242004394	0.00211254631084584	
0.040614366531372	0.00211344038051747	
0.0480089664459228	0.00211494479243838	
0.0554022789001464	0.00211638484996937	
0.0627964496612548	0.00211799655025087	
0.070193338394165	0.00211933169429383	
0.0775887966156006	0.00212028536861023	
0.0849889755249024	0.00212081463922939	
0.0923947334289558	0.00212091955271742	
0.0998195171356214	0.00212065016766271	
0.107221269607544	0.00212029253979405	
0.114625597000122	0.00211954389614245	
0.122023344039918	0.00211849965070565	
0.129423952102662	0.00211759603497763	
0.13681983947754	0.00211625134487827	
0.14422016143799	0.00211523806591709	
0.1516170501709	0.00211477552456041	
0.15901665687561	0.00211466343988856	
0.166409683227538	0.00211492807519813	
0.173806571960448	0.00211540016261121	
0.181208896636962	0.00211607965556165	
0.18861093521118	0.00211638722484192	
0.196030139923096	0.00211624897000571	
0.20343475341797	0.00211597958495101	
0.210838508605958	0.00211624422026057	
0.2182363986969	0.00211591043424983	
0.225631999969484	0.00211610354398567	
0.23303303718567	0.00211658750576157	
0.24043378829956	0.00211693321270126	
0.247835826873778	0.00211667570200938	
0.255236434936522	0.00211646112528819	
0.262638044357298	0.00211579355326671	
0.27003421783447	0.00211504970592637	
0.277435970306394	0.00211418660273035	
0.284836435317992	0.00211374315348645	
0.292255067825316	0.00211360727352281	
0.299657249450682	0.00211391484280307	
0.307061433792114	0.00211449417201061	
0.314457893371582	0.00211545739238341	
0.321855783462524	0.00211640389551599	
0.32925353050232	0.00211712865074355	
0.336651992797852	0.00211737424050649	
0.34405002593994	0.00211724790659925	
0.351448488235472	0.00211669954386731	
0.358847093582152	0.00211616310206433	
0.366246414184568	0.00211563620631775	
0.373648738861082	0.00211514027704678	
0.381054067611694	0.00211447745477041	
0.388472843170166	0.00211381225762149	
0.395873594284056	0.00211329490793129	
0.40327591896057	0.00211280614984414	
0.410670948028564	0.00211243660104651	
