Run Id		
Device	W1715-2E100	
Curve	Illuminated IV1	
Size [cm2]	1	
Temperature [C]	24.38	
Material	None	
Date	6/27/2013	
Time	3:15 PM	
Temperature Corrected	no	
Irradiance [W/m2]	969.63769091813	
Irradiance Corrected	yes	
V [V] 	I [A]	
-0.099914789199829	0.00929989652131264	
-0.09235668182373	0.00930268583242364	
-0.0848217487335206	0.00929502998833126	
-0.077283525466919	0.00929264095966286	
-0.0697497367858888	0.00929031153563924	
-0.0622182369232178	0.00929124136809774	
-0.0546911716461182	0.00929682036284872	
-0.0471629619598388	0.00930398241971204	
-0.0396318912506104	0.00931223170254896	
-0.0321016788482666	0.00931950346921156	
-0.0245717525482178	0.00932022841070364	
-0.0170418262481689	0.00931561035458516	
-0.0095166206359863	0.0093077449629135	
-0.0019942760467529	0.00929992967639636	
0.0055276393890381	0.00929456525836656	
0.0130527019500733	0.00929344469104478	
0.0205749034881592	0.00929288664255806	
0.0281019687652588	0.0092938833439774	
0.0356300354003906	0.0092928462231583	
0.043157386779785	0.00929164463077254	
0.0506840229034422	0.0092915444204635	
0.058212375640869	0.0092943626025743	
0.065740156173706	0.00929836561326452	
0.0732705116271974	0.00930348919127652	
0.0808085918426516	0.00930787851457068	
0.0883452415466302	0.00931245857272814	
0.095882177352904	0.00931638055835436	
0.103418684005736	0.00931834993307064	
0.110956621170044	0.0093206124881334	
0.118488264083862	0.00931984954868028	
0.126019334793092	0.00931739383731552	
0.133551979064944	0.00931513370369144	
0.141083908081056	0.00931375553254552	
0.148615550994874	0.00931178857926794	
0.156146907806398	0.00931191728804774	
0.16367826461792	0.0093135767186112	
0.171211910247802	0.00931416307930418	
0.178751564025878	0.00931491651926706	
0.186287927627562	0.00931666405294606	
0.193824720382688	0.00931767025385568	
0.201362514495848	0.00931815659050414	
0.208896589279174	0.00932091516797014	
0.216428661346436	0.0093232326710648	
0.223959875106812	0.00932504465226598	
0.231492948532106	0.00932762180809446	
0.239022159576418	0.00933001549337574	
0.246553802490236	0.00932988194171854	
0.2540828704834	0.00932997954432436	
0.261610794067384	0.00933032059465118	
0.26913685798645	0.00933035170082516	
0.276673221588134	0.00932994881067938	
0.284209156036376	0.0093310336152143	
0.29174551963806	0.00932996799592442	
0.299283456802368	0.00932813459430404	
0.306822109222412	0.00932556433026262	
0.314373350143432	0.00932276756857104	
0.321924304962158	0.00931831156258054	
0.329476976394654	0.00931582250986764	
0.337028217315674	0.00931377918813892	
0.344580030441284	0.00931154997442432	
0.352112817764282	0.00930845779721208	
0.359644889831542	0.00930592348222202	
0.367173385620116	0.00930369184706872	
0.374713611602782	0.00930124805663294	
0.38225212097168	0.00929996543918318	
0.389784049987794	0.00930021577869124	
0.397321271896364	0.00930064493213364	
0.404859638214112	0.0093019251281447	
0.412387561798096	0.0093034605065412	
0.419917058944702	0.00930467886273332	
